source_doc,element,index,text
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,paragraph,1,"Specification of the coding system for the CLHLS 1998-2018 longitudinal dataset (including the 1998 baseline survey, 2000, 2002, 2005, 2008, 2011, 2014, and 2018 follow-up surveys of both survivors and deceased persons)"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,paragraph,5,"This dataset is derived from the first eight waves (1998, 2000, 2002, 2005, 2008, 2011, 2014, and 2018) of the Chinese Longitudinal Healthy Longevity Survey (CLHLS). The CLHLS covers 23 out of 31 provinces in China. This dataset consists of fifteen components. The first component contains all the information collected in the 1998 baseline survey for 9,093 respondents. The second component contains information collected in the 2000 survey for 4,831 respondents who were re-interviewed in the 2000 survey. The third component includes information collected from the next-of-kin of 3,368 deceased persons who were first interviewed in 1998 but had died before the 2000 follow-up survey. The fourth component is for 2,643 respondents who were first interviewed in 1998 and re-interviewed in 2000 and 2002. The fifth component includes information obtained from the next-of-kin of 1,604 respondents who were first interviewed in 1998, survived at 2000 survey but died before 2002 survey. The sixth component is for the information collected in the 2005 survey for 1,051 respondents who were re-interviewed in 2000, 2002, and 2005. The seventh component contains information collected from the next-of-kin of 1,308 respondents who were interviewed in all previous three waves but died before the 2005 wave. The eighth component is for the information collected in the 2008 survey for 358 respondents who were re-interviewed in 2000, 2002, 2005, and 2008. The ninth component contains information collected from the next-of-kin of 480 respondents who were interviewed in 1998, survived at 2000, 2002, and 2005 survey but died before 2008 survey. The tenth component is for the information collected in the 2011 survey for 128 respondents who were re-interviewed in 2000, 2002, 2005, 2008, and 2011. The eleventh component contains information collected from the next-of-kin of 177 respondents who were interviewed in all previous five waves but died before the 2011 wave. The twelfth component is for the information collected in the 2014 survey for 47 respondents who were re-interviewed in 2000, 2002, 2005, 2008, 2011, 2014, and 2018. The thirteen component contains information collected from the next-of-kin of 75 respondents who were interviewed in all previous six waves but died before the 2014 survey. The 14th component contains information collected in the 2018 survey for 10 respondents who were interviewed in 2018. The 15th component includes information collected from the next-of-kin of 23 deceased persons who were interviewed in 2014 but had died before the 2018 follow-up survey. There were 894 respondents lost to follow-up in the 2000 survey, 585 respondents lost to follow-up in the 2002 survey, 284 respondents lost to follow in the 2005 survey, 214 respondents lost to follow in the 2008 survey, 53 respondents lost to follow in the 2011 survey, 6 respondents lost to follow in the 2014 survey, and 14 respondents lost to follow in the 2018 survey. This dataset is called the 1998-2018 longitudinal dataset. It presents both static and twenty-year interval dynamic information for the respondents who were first interviewed in 1998."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,paragraph,6,"2. Variables and the coding system in this data set are based on questions in the individual questionnaire in the 1998 baseline survey, questions not in shaded boxes in the individual questionnaire in the 2000, 2002, 2005, 2008, 2011, 2014, and 2018 follow-up surveys, and questions in the questionnaire for the deceased person in the 2000, 2002, 2005, 2008, 2011, 2014, and 2018 follow-up surveys. The names of variables and the code system in this dataset, however, are not necessarily all the same as those in the corresponding questionnaires. Some are slightly different. Please use this coding system when performing analysis, and regard the questionnaire as a basic reference."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,paragraph,8,"4. Most of variables are treated as ‘Numeric’ ones in this dataset, while some of them are treated as ‘string’ ones. Variables such as age, year, month, number of persons, and number of days are treated as ‘Scale’ type. Most of the remaining variables are treated as ‘Nominal’ ones including ‘yes’ or ‘no’ binomial questions. Variables in Part B, variables related to ADL, IADL functioning capacity in Part E, and some variables in Part D in the surviving individual questionnaires are treated as ‘Ordinal’ ones. ADL functioning before dying for the deceased persons are also treated as ‘Ordinal’ variables. More detailed information could be found in the ‘measurement level’ in the coding system."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,paragraph,10,"6. Variables with names ‘_0’, ‘_2’, ‘_5’, ‘_8’, ‘_11’, ‘_14’, and ‘_18’ as their suffix are for those who were still alive and re-interviewed in 2000, 2002, 2005, 2008, 2011, 2014, and 2018 respectively, while variables with names ‘d0’, ‘d2’, ‘d5’, ‘d8’, ‘d11’, ‘d14’ and ‘d18’ as their prefix are variables for those deceased respondents who died in the survey intervals 1998-2000, 2000-2002, 2002-2005, 2005-2008, 2008-2011, 2011-2014, and 2014-2018 respectively."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,paragraph,13,"9. ‘-6’ is used to indicate that the variable is used for surviving persons ONLY and is NOT applicable to the deceased persons. ‘-7’ is used to indicate that the variable is used for the deceased persons ONLY and is NOT applicable to the surviving respondents. ‘-8’ is used to indicate that the respondents were dead or lost to follow-up in an earlier wave, and ‘-9’ is used to define lost to follow-up. ‘–1’ is used in this dataset to indicate a situation in which the question is NOT applicable to the respondent. ‘9’, ‘99’, ‘999’, and ‘9999’ are usually used to represent missing information in different variables, while ‘8’, ‘88’, ‘888’, and ‘8888’ in most cases (but NOT all cases) are used to indicate situations in which the respondent didn’t know the answers to the questions. The missing values indicated by ‘8’, ‘88’, ‘888’, ‘8888’, ‘9’, ‘99’, ‘999’, and ‘9999’ need to be imputed by the user before doing the analysis, especially when the proportion of ‘missing’ or ‘don’t know’ is larger than 5%. Data sets with imputed values to replace the missing data are not currently available."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,paragraph,14,"10. Nine variables in this dataset are non-survey variables. Eight of them (dth98_00, dth00_02, dth02_05, dth05_08, dth08_11, dth11_14, and dth14_18) indicate survival status in 2000, 2002, 2005, 2008, 2011, 2014, and 2018 surveys (i.e., surviving, dead, lost to follow-up). Another one (year9899) indicates the year of the interview of the baseline survey (Note: some of the samples were collected in 1999). The ninth variable is “w_1998” (see Note 13)."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,paragraph,16,"12. Attention should be given to time-varying variables. The information gathered in the 1998 baseline survey (e.g., number of marriages, information about the last marriage) is subject to change."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,paragraph,17,"13. The weight variable “w_1998” is estimated based on the estimated numbers of oldest old persons by age, sex, and rural/urban residence in 1998 derived from 2000 census 100% data tabulations for the 22 provinces where the 1998 survey was conducted. The total number of the weighted individual cases of the survey is equal to the total sample size. However, the numbers of the weighted individual cases for the age-sex-residence-specific groups may not be exactly the same as the actual sub-sample size of the corresponding groups. Thus, SPSS, SAS, STATA (or other software) would not produce correct p-values for testing the statistical significance of the differences of the average proportions across different age-sex-reference groups, since the sub-sample size of the sub-groups may be altered after weighting the individual cases. Therefore, the weights need to be appropriately adjusted to ensure that the sub-sample size within each sub-group after weighting is exactly the same as the true sub-sample size for the cross sub-groups comparisons by using statistical significance tests. Such adjusted weights are available upon request. Please refer to Zeng and Vaupel et al. (2001: Appendix A) for details on how the weights and the adjusted weights are computed. Weight is not applied to those respondents aged less than 80 or more than 106 at their first interviews."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,paragraph,18,"14. The eligible respondents of this dataset are those people aged 80 and over. There are a very few respondents in this data set whose age was less than 80 at the baseline survey, however. It’s recommended to exclude the respondents who were less than 80 years old if the analysis is focused on the oldest old since they had not reached the oldest old age (80+) at the survey time."
